label,potential_home_1,potential_home_2,overall_rating_home_3,overall_rating_home_4,overall_rating_home_5,ball_control_home_5,overall_rating_home_6,potential_home_6,overall_rating_home_7,overall_rating_home_8,overall_rating_home_9,positioning_home_10,overall_rating_home_11,overall_rating_away_1,overall_rating_away_2,overall_rating_away_3,potential_away_3,overall_rating_away_4,marking_away_4,standing_tackle_away_4,overall_rating_away_5,overall_rating_away_6,overall_rating_away_7,overall_rating_away_8,overall_rating_away_9,positioning_away_10,overall_rating_away_11,potential_away_11
2,69.0,67.0,64.0,65.0,65.0,66.0,60.0,66.0,66.0,71.0,65.0,61.0,60.0,64.0,64.0,63.0,66.0,60.0,69.0,62.0,66.0,64.0,65.0,69.0,59.0,51.0,57.0,57.0
1,64.0,65.0,66.0,65.0,63.0,63.0,61.0,70.0,65.0,65.0,69.0,69.0,63.16,64.0,64.0,63.0,66.0,66.0,58.0,64.0,60.0,69.0,65.0,64.0,59.0,51.0,65.0,68.0
0,68.0,68.0,68.0,65.0,65.0,45.0,65.0,71.0,66.0,62.0,64.0,65.0,66.0,64.0,65.0,63.0,66.0,66.0,58.0,64.0,60.0,69.0,64.0,59.0,64.0,63.0,57.0,57.0
0,62.0,73.0,57.0,59.0,51.0,44.0,59.65217391304348,65.30434782608695,63.0,58.0,61.0,28.0,64.0,64.0,64.0,63.0,66.0,66.0,58.0,64.0,60.0,65.0,64.0,69.0,59.0,65.0,57.0,57.0
2,64.26315789473684,61.0,62.0,60.0,59.0,43.0,61.0,73.0,59.0,57.0,61.0,44.0,62.0,64.0,65.0,65.0,66.0,66.0,58.0,64.0,60.0,68.0,64.0,64.0,59.0,51.0,57.0,57.0
0,62.0,64.0,61.0,66.0,65.0,48.0,63.0,63.0,65.0,62.0,65.0,54.0,70.0,64.0,65.0,63.0,66.0,65.0,60.0,67.0,64.0,64.0,59.0,68.0,69.0,61.80769230769231,65.0,68.0
1,59.0,65.0,65.0,58.0,65.0,59.0,64.0,67.0,58.0,65.0,65.0,68.0,60.0,64.0,65.0,66.0,69.0,65.0,60.0,67.0,64.0,59.0,55.0,65.1923076923077,69.0,70.0,68.0,70.0
1,69.0,69.0,63.0,61.0,61.0,54.0,61.0,62.0,62.0,66.0,65.0,72.0,65.0,61.0,51.0,65.0,66.0,66.0,58.0,64.0,64.0,65.0,64.0,68.0,59.0,70.0,65.0,68.0
0,66.0,66.0,63.0,67.0,61.0,59.0,63.0,63.0,65.0,63.0,69.0,45.0,71.0,61.0,64.0,65.0,66.0,63.0,67.0,62.0,51.0,64.0,68.0,64.0,66.0,51.0,57.0,57.0
1,64.0,64.0,63.0,64.0,58.0,55.0,57.0,62.0,64.0,63.0,67.0,79.0,63.0,64.0,61.0,66.0,69.0,65.0,60.0,67.0,65.0,59.0,64.0,68.0,69.0,51.0,65.0,68.0
2,75.0,67.0,66.0,66.0,67.0,62.0,67.0,67.0,66.0,66.0,71.0,68.0,69.0,61.0,60.0,65.0,66.0,63.0,67.0,62.0,51.0,55.0,66.0,69.0,64.0,70.0,57.0,57.0
1,62.0,59.0,60.0,62.0,58.0,52.0,58.0,66.0,61.0,60.0,57.0,40.0,61.0,61.0,65.0,65.0,66.0,63.0,67.0,62.0,64.0,55.0,66.0,59.0,69.0,51.0,65.0,68.0
0,61.0,73.0,58.0,66.0,65.0,63.0,67.0,67.0,59.0625,68.0,65.0,56.84615384615385,65.0,61.0,65.0,63.0,66.0,65.0,60.0,67.0,51.0,59.0,69.0,55.0,59.0,70.0,65.0,68.0
1,64.0,69.0,66.0,64.0,66.0,53.0,70.0,76.0,70.0,67.0,67.0,69.0,73.0,61.0,65.0,63.0,66.0,65.0,67.0,63.0,64.0,66.0,59.0,69.0,55.0,58.0,65.0,68.0
2,68.0,62.0,62.64516129032258,65.0,58.0,59.0,56.0,56.0,65.0,62.0,61.0,68.0,62.0,63.0,62.333333333333336,65.0,65.0,63.0,63.0,61.0,59.09090909090909,64.0,59.0,67.0,69.0,58.0,61.0,64.0
1,66.0,60.0,67.0,63.0,62.0,63.0,66.0,66.0,67.0,63.0,65.0,70.0,64.0,63.0,62.333333333333336,63.0,64.0,63.0,63.0,61.0,59.09090909090909,69.0,64.0,63.0,59.0,70.0,61.0,64.0
2,61.0,67.0,63.0,58.0,61.0,54.0,64.0,64.0,58.0,61.0,65.0,53.0,60.0,69.0,63.0,67.0,68.0,65.0,71.0,65.0,63.0,63.0,64.0,61.0,69.0,58.0,61.0,61.0
0,55.0,62.0,57.0,56.0,62.0,62.0,66.0,66.0,60.0,62.0,58.0,48.0,60.0,69.0,63.0,65.0,65.0,67.0,58.0,64.0,63.0,64.0,63.0,61.0,61.0,70.0,61.0,61.0
2,66.0,67.0,69.0,65.0,64.0,58.0,66.0,66.0,61.0,65.0,74.0,65.0,66.0,69.0,64.77777777777777,65.0,65.0,67.0,58.0,64.0,63.0,64.0,55.0,63.0,65.73913043478261,44.0,61.0,64.0
